model,mean,median,min,max
DEEPSEEK(ADJUSTED),0.7858652056739217,0.8833879592039069,0.0863046788515511,1.0
GEMINI(ADJUSTED),0.6622655336616248,0.7311650243998608,0.0229810155717271,1.0
GPT(ADJUSTED),0.6144859429959708,0.6096922597208598,0.1743496188036569,0.9939627671691712
GROK(ADJUSTED),0.5815914811758538,0.5677316713048843,0.00200121052203,1.0
LLAMA(ADJUSTED),0.6632854821281966,0.820784598845836,0.0015544598959202,1.0
