model,mean,max,median
DEEPSEEK(ADJUSTED),0.25878787878787884,1.3666666666666671,0.10000000000000009
GEMINI(ADJUSTED),0.49207070707070705,1.4999999999999996,0.30000000000000027
GPT(ADJUSTED),0.47555555555555556,1.4333333333333336,0.4333333333333331
GROK(ADJUSTED),0.7311111111111112,4.166666666666667,0.33333333333333326
LLAMA(ADJUSTED),0.45388888888888884,2.533333333333333,0.2666666666666666
